code,crop
1,abaca
2,agave
3,alfalfa
4,almond
5,aniseetc
6,apple
7,apricot
8,areca
9,artichoke
10,asparagus
11,avocado
12,bambara
13,banana
14,barley
15,bean
16,beetfor
17,berrynes
18,blueberry
19,brazil
20,broadbean
21,buckwheat
22,cabbage
23,cabbagefor
24,canaryseed
25,carob
26,carrot
27,carrotfor
28,cashew
29,cashewapple
30,cassava
31,castor
32,cauliflower
33,cerealnes
34,cherry
35,chestnut
36,chickpea
37,chicory
38,chilleetc
39,cinnamon
40,citrusnes
41,clove
42,clover
43,cocoa
44,coconut
45,coffee
46,coir
47,cotton
48,cowpea
49,cranberry
50,cucumberetc
51,currant
52,date
53,eggplant
54,fibrenes
55,fig
56,flax
57,fonio
58,fornes
59,fruitnes
60,garlic
61,ginger
62,gooseberry
63,grape
64,grapefruitetc
65,grassnes
66,greenbean
67,greenbroadbean
68,greencorn
69,greenonion
70,greenpea
71,groundnut
72,gums
73,hazelnut
74,hemp
75,hempseed
76,hop
77,jute
78,jutelikefiber
79,kapokfiber
80,kapokseed
81,karite
82,kiwi
83,kolanut
84,legumenes
85,lemonlime
86,lentil
87,lettuce
88,linseed
89,lupin
90,maize
91,maizefor
92,mango
93,mate
94,melonetc
95,melonseed
96,millet
97,mixedgrain
98,mixedgrass
99,mushroom
100,mustard
101,nutmeg
102,nutnes
103,oats
104,oilpalm
105,oilseedfor
106,oilseednes
107,okra
108,olive
109,onion
110,orange
111,papaya
112,pea
113,peachetc
114,pear
115,pepper
116,peppermint
117,persimmon
118,pigeonpea
119,pimento
120,pineapple
121,pistachio
122,plantain
123,plum
124,popcorn
125,poppy
126,potato
127,pulsenes
128,pumpkinetc
129,pyrethrum
130,quince
131,quinoa
132,ramie
133,rapeseed
134,rasberry
135,rice
136,rootnes
137,rubber
138,rye
139,ryefor
140,safflower
141,sesame
142,sisal
143,sorghum
144,sorghumfor
145,sourcherry
146,soybean
147,spicenes
148,spinach
149,stonefruitnes
150,strawberry
151,stringbean
152,sugarbeet
153,sugarcane
154,sugarnes
155,sunflower
156,swedefor
157,sweetpotato
158,tangetc
159,taro
160,tea
161,tobacco
162,tomato
163,triticale
164,tropicalnes
165,tung
166,turnipfor
167,vanilla
168,vegetablenes
169,vegfor
170,vetch
171,walnut
172,watermelon
173,wheat
174,yam
175,yautia
