climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,4.029544,4.7121,5.715374,9.196545
2,4.646311,6.044316,7.013581,8.174218
3,3.092738,6.315693,7.384756,9.417693
4,3.164072,5.861079,7.228509,9.639622
5,3.215449,4.03286,7.089228,8.725197
6,3.602336,6.340364,8.342811,9.765418
7,6.368522,7.796741,8.586162,9.253056
8,7.712436,8.61298,9.125765,10.471741
9,6.505663,7.485219,7.791667,9.909662
10,3.045779,6.673193,7.474809,9.164931
11,4.629864,5.772939,6.718648,10.093505
12,3.092738,6.249905,6.767989,9.417693
13,2.908228,5.819974,6.767989,8.552502
14,4.087109,6.233458,7.607952,9.034443
15,4.600732,7.110842,8.883149,9.41268
16,8.029415,9.04525,9.434293,10.201571
17,8.494105,9.97463,10.190765,10.450128
18,8.667014,9.185738,10.223186,10.525774
19,8.040222,9.196545,10.385286,10.64465
20,4.374856,6.862286,8.21313,9.661234
21,4.268027,5.731821,9.002023,11.455155
22,3.105604,4.191143,5.838727,10.082698
23,3.634855,5.338535,6.221194,9.866563
24,2.895901,4.253979,7.046001,9.97463
25,5.167872,7.30431,8.342811,9.866563
26,6.225235,8.459464,9.855756,10.4069
27,8.321198,9.563974,10.450128,10.687877
28,7.402624,9.531553,10.4069,10.698682
29,7.413431,8.569753,9.531553,9.823336
30,5.014332,7.770053,8.459464,9.499133
31,3.634855,5.394655,7.867314,10.83336
32,2.753504,4.8519,6.899567,11.001272
33,4.958807,6.728927,9.931403,10.460935
34,5.879845,7.661986,8.342811,9.693655
35,4.787716,6.797446,8.883149,10.531802
36,8.029415,9.455907,9.90979,10.531802
37,8.991216,9.585588,9.81253,10.4069
38,8.202324,9.14251,9.607202,9.953017
39,6.94874,8.375232,8.915569,9.691191
40,2.64,5.349341,7.899734,8.839922
41,4.013097,5.254854,10.83336,13.313916
42,3.906191,4.564075,6.356812,12.503409
43,3.955532,4.490064,5.304196,10.601422
44,3.437448,4.753218,5.896292,10.623035
45,2.340568,4.551104,5.873092,8.137849
46,3.248306,5.328251,6.728927,9.691191
47,4.925912,6.728927,7.683599,9.639622
48,5.338535,6.116621,7.110842,7.856507
49,4.365927,6.040974,6.840673,7.618759
50,2.138177,4.432498,7.553918,8.915569
51,1.300315,3.28,4.808003,10.973922
52,3.330542,3.930862,4.531181,5.690858
53,1.430347,3.823955,4.72627,6.184117
54,3.733496,4.638087,5.419326,7.368309
55,3.700602,4.218686,4.72627,6.728927
56,3.618366,4.268027,4.72627,6.259733
57,3.421001,4.72627,6.259733,6.728927
58,2.919363,3.758167,5.055845,6.728927
59,2.689104,3.918597,6.203074,9.293805
60,2.077722,3.475281,5.066469,6.981161
61,0.621502,1.083596,1.928801,5.64
62,1.61249,2.41308,4.56456,6.183929
63,1.61249,2.49,5.306114,7.019279
64,1.650589,3.018046,4.706568,6.259733
65,1.210669,2.138177,3.930862,6.259733
66,1.423378,2.311576,3.443615,7.056808
67,1.899926,2.707394,4.49649,8.234743
68,2.137416,3.32487,4.053174,6.158926
69,2.374907,3.562361,4.274833,5.10605
70,2.612398,3.41195,3.926513,5.224795
71,0.464054,1.16146,1.61249,3.742957
72,0.875215,1.399591,1.922155,4.203826
73,1.164929,1.424944,2.059124,4.767429
74,1.076864,1.519787,2.138177,4.211502
75,1.390565,2.017376,3.126961,4.219418
76,1.560146,2.406573,3.277372,4.631069
77,1.650589,2.691561,3.459448,4.749814
78,1.774964,2.778641,3.744437,4.718149
79,0.872338,2.290893,3.665273,5.699777
80,1.424944,2.17102,2.881554,3.918597
81,0.878416,1.590748,1.947158,3.01
82,0.834697,1.06314,1.722112,2.802825
83,0.972461,1.087737,1.555172,2.433801
84,0.99285,1.291584,1.950555,2.899474
85,0.99285,1.437563,2.09843,3.346994
86,1.061222,1.317943,1.90421,3.329561
87,0.99285,1.403108,2.064777,3.958179
88,0.807648,1.423378,2.160152,4.03058
89,1.113788,1.989601,2.865721,3.611068
90,1.25779,2.087072,2.881554,3.388888
91,0.888168,1.032429,1.590748,2.688603
92,0.921811,1.249921,1.60789,2.688603
93,0.99285,1.278077,1.948671,3.549659
94,1.087737,1.253009,1.503634,3.388896
95,1.087737,1.299754,3.098132,3.799975
96,1.114073,1.40069,3.098132,3.820028
97,1.143046,1.520027,2.511891,4.080712
98,1.227035,1.77381,2.436101,3.583776
99,1.502553,2.087072,3.090854,3.507986
100,1.198355,2.007565,3.096555,3.388888
